date,equity_lr,equity_bh
2026-01-12,1343615.9109358692,1317089.8067449792
2026-01-13,1340929.2976149058,1314456.2334217508
2026-01-14,1334338.3973095212,1307995.4528230391
2026-01-15,1337972.0901465074,1311557.4081091324
2026-01-16,1336851.0572499903,1310458.5070102313
2026-01-20,1309637.0172793693,1283781.7355058736
2026-01-21,1324751.6332289614,1298597.9537703677
2026-01-22,1331671.112141946,1305380.8260704814
2026-01-23,1332154.3159766516,1305854.4903372491
2026-01-26,1338919.1696625305,1312485.790071997
2026-01-27,1344253.7399976808,1317715.0435771127
2026-01-28,1344118.442923963,1317582.4175824176
2026-01-29,1341451.157756388,1314967.79082986
2026-01-30,1337450.2300050254,1311045.8507010234
2026-02-02,1344099.1147705747,1317563.471011747
2026-02-03,1332734.1605782984,1306422.8874573703
2026-02-04,1326278.5573466313,1300094.7328533537
2026-02-05,1309714.329892922,1283857.5217885564
2026-02-06,1334840.9292976148,1308488.0636604775
2026-02-09,1341277.204375894,1314797.2716938236
2026-02-10,1337740.1523058487,1311330.0492610838
2026-02-11,1337430.9018516373,1311026.9041303527
2026-02-12,1316769.1058796241,1290773.020083365
2026-02-13,1317696.8572422592,1291682.455475559
2026-02-17,1319822.954114964,1293766.5782493372
2026-02-18,1326471.8388805133,1300284.1985600607
2026-02-19,1322973.4431172446,1296854.8692686625
2026-02-20,1332540.8790444161,1306233.4217506633
2026-02-23,1318933.8590591054,1292895.0359984844
2026-02-24,1328520.6231396652,1302292.535051156
2026-02-25,1339730.9521048358,1313281.5460401669
2026-02-26,1332289.613050369,1305987.116331944
2026-02-27,1325891.9942788666,1299715.8014399395
2026-03-02,1326645.7922610075,1300454.7176960972
2026-03-03,1314952.2594611312,1288992.0424403185
2026-03-04,1324229.7730874792,1298086.3963622586
2026-03-05,1316846.418493177,1290848.8063660478
2026-03-06,1299586.377517492,1273929.518757105
2026-03-09,1310970.6598631567,1285089.0488821524
2026-03-10,1308863.89114384,1283023.8726790452
2026-03-11,1307220.998105841,1281413.4141720352
2026-03-12,1287370.9845761335,1261955.286093217
2026-03-13,1280084.2707487727,1254812.42895036
2026-03-16,1293111.4461324364,1267582.4175824176
2026-03-17,1296513.201128764,1270917.0140204623
2026-03-18,1278422.0495573853,1253183.023872679
2026-03-19,1275271.5605551044,1250094.7328533537
2026-03-20,1253566.0443001278,1228817.733990148
2026-03-23,1266728.516757509,1241720.3486169004
2026-03-24,1262476.3230120994,1237552.1030693445
2026-03-25,1269511.7708454134,1244448.6547934827
2026-03-26,1246839.8469210253,1222224.3273967414
2026-03-27,1225578.8781939775,1201383.0996589619
2026-03-30,1221481.3096756737,1197366.4266767716
2026-03-31,1256987.1274498436,1232171.2769988633
2026-04-01,1266457.9226100738,1241455.0966275106
2026-04-02,1267598.2836599792,1242572.9442970825
2026-04-06,1273590.011210329,1248446.381205002
2026-04-07,1274150.5276585876,1248995.8317544525
2026-04-08,1306602.4971974178,1280807.1239105724
2026-04-09,1314140.4770188255,1288196.2864721487
2026-04-10,1313270.7101163557,1287343.6907919669
2026-04-13,1326104.6039661372,1299924.2137173174
2026-04-14,1342262.9401986934,1315763.5467980297
2026-04-15,1352854.768255441,1326146.2675255782
